# Asi_20 - PAGES 2K UKHLWW Latewood width Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_20 - UKHLWW
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Schweingruber, FH  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: UKHLWW
#	Location: Asia
#	Country: Altai Mountains (AT)
#	Northernmost_Latitude: 50.15
#	Southernmost_Latitude: 50.15
#	Easternmost_Longitude: 85.37
#	Westernmost_Longitude: 85.37
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_20
#	Earliest_Year: 1581
#	Most_Recent_Year: 1993
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##LRW	latewood ring width, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	LRW
1718.0	0.728
1719.0	1.122
1720.0	1.416
1721.0	1.485
1722.0	1.617
1723.0	1.424
1724.0	1.458
1725.0	0.979
1726.0	0.873
1727.0	0.721
1728.0	0.77
1729.0	1.006
1730.0	0.748
1731.0	1.168
1732.0	0.899
1733.0	0.868
1734.0	0.859
1735.0	0.703
1736.0	0.595
1737.0	0.595
1738.0	0.677
1739.0	0.746
1740.0	0.763
1741.0	0.621
1742.0	0.918
1743.0	0.617
1744.0	0.689
1745.0	0.593
1746.0	0.73
1747.0	0.874
1748.0	1.065
1749.0	1.036
1750.0	0.903
1751.0	0.625
1752.0	0.966
1753.0	1.331
1754.0	0.867
1755.0	0.854
1756.0	0.974
1757.0	1.37
1758.0	1.136
1759.0	1.085
1760.0	0.917
1761.0	1.123
1762.0	1.026
1763.0	1.152
1764.0	1.247
1765.0	0.774
1766.0	1.133
1767.0	1.177
1768.0	0.794
1769.0	0.941
1770.0	0.994
1771.0	0.894
1772.0	0.909
1773.0	1.201
1774.0	0.916
1775.0	0.705
1776.0	0.713
1777.0	1.033
1778.0	0.707
1779.0	0.782
1780.0	0.804
1781.0	0.857
1782.0	0.849
1783.0	0.661
1784.0	0.781
1785.0	0.78
1786.0	0.941
1787.0	1.464
1788.0	0.901
1789.0	1.387
1790.0	1.322
1791.0	1.028
1792.0	1.093
1793.0	0.924
1794.0	1.063
1795.0	0.808
1796.0	0.561
1797.0	0.711
1798.0	0.793
1799.0	0.748
1800.0	0.825
1801.0	0.988
1802.0	0.845
1803.0	1.157
1804.0	1.027
1805.0	0.921
1806.0	1.278
1807.0	1.168
1808.0	1.011
1809.0	1.21
1810.0	1.232
1811.0	0.925
1812.0	0.948
1813.0	0.935
1814.0	0.912
1815.0	1.314
1816.0	0.932
1817.0	0.861
1818.0	0.884
1819.0	0.75
1820.0	0.691
1821.0	0.823
1822.0	1.127
1823.0	0.845
1824.0	0.815
1825.0	0.847
1826.0	0.597
1827.0	0.69
1828.0	0.901
1829.0	0.903
1830.0	1.116
1831.0	1.307
1832.0	1.249
1833.0	0.992
1834.0	0.947
1835.0	0.681
1836.0	0.721
1837.0	0.909
1838.0	0.98
1839.0	1.025
1840.0	0.822
1841.0	0.956
1842.0	0.719
1843.0	0.408
1844.0	0.608
1845.0	0.929
1846.0	0.974
1847.0	0.812
1848.0	0.837
1849.0	0.733
1850.0	0.516
1851.0	0.618
1852.0	0.68
1853.0	0.645
1854.0	0.468
1855.0	0.692
1856.0	0.926
1857.0	0.746
1858.0	0.834
1859.0	0.541
1860.0	0.816
1861.0	0.932
1862.0	0.712
1863.0	0.582
1864.0	0.716
1865.0	0.747
1866.0	0.923
1867.0	0.705
1868.0	0.842
1869.0	0.788
1870.0	0.693
1871.0	0.682
1872.0	0.63
1873.0	0.505
1874.0	0.568
1875.0	0.528
1876.0	0.674
1877.0	0.755
1878.0	0.511
1879.0	0.702
1880.0	0.781
1881.0	0.497
1882.0	0.794
1883.0	0.786
1884.0	0.702
1885.0	0.86
1886.0	0.775
1887.0	0.798
1888.0	0.779
1889.0	0.722
1890.0	0.548
1891.0	0.704
1892.0	0.704
1893.0	0.709
1894.0	0.704
1895.0	0.913
1896.0	0.77
1897.0	0.948
1898.0	0.886
1899.0	1.058
1900.0	1.136
1901.0	1.28
1902.0	1.277
1903.0	0.902
1904.0	0.924
1905.0	0.853
1906.0	0.727
1907.0	0.602
1908.0	0.691
1909.0	0.891
1910.0	0.704
1911.0	0.894
1912.0	0.786
1913.0	0.765
1914.0	0.87
1915.0	1.009
1916.0	0.899
1917.0	0.888
1918.0	0.991
1919.0	1.024
1920.0	0.822
1921.0	0.916
1922.0	0.919
1923.0	0.972
1924.0	0.893
1925.0	0.966
1926.0	0.946
1927.0	0.652
1928.0	0.902
1929.0	0.88
1930.0	0.883
1931.0	0.873
1932.0	0.756
1933.0	0.611
1934.0	0.761
1935.0	0.951
1936.0	0.833
1937.0	0.967
1938.0	0.828
1939.0	1.049
1940.0	0.952
1941.0	0.975
1942.0	0.98
1943.0	1.055
1944.0	1.264
1945.0	1.639
1946.0	1.662
1947.0	1.055
1948.0	1.337
1949.0	1.565
1950.0	1.425
1951.0	1.64
1952.0	1.285
1953.0	1.552
1954.0	1.43
1955.0	1.455
1956.0	1.28
1957.0	0.98
1958.0	0.881
1959.0	1.288
1960.0	1.039
1961.0	1.173
1962.0	1.461
1963.0	1.277
1964.0	1.051
1965.0	1.41
1966.0	1.385
1967.0	1.202
1968.0	1.143
1969.0	1.308
1970.0	1.269
1971.0	1.148
1972.0	1.023
1973.0	1.053
1974.0	1.227
1975.0	1.259
1976.0	1.419
1977.0	1.44
1978.0	1.438
1979.0	2.086
1980.0	1.606
1981.0	1.534
1982.0	1.277
1983.0	1.27
1984.0	1.111
1985.0	1.04
1986.0	1.409
1987.0	1.742
1988.0	1.835
1989.0	1.702
1990.0	1.418
1991.0	1.389
1992.0	1.758
1993.0	1.143
