# ITASE 00-05
#-----------------------------------------------------------------------
#               World Data Center for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite original reference when using these data,
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed
#
#
#
# Online_Resource: 
#
#
# Original_Source_URL: 
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Ice Cores
# --------------------
# Contribution_date
#	Date: 2015
# --------------------
# Title 
#	Study_Name: ITASE 00-05
# --------------------
# Investigators
#	Investigators: Schneider, D.P.; Noone, D. C. 
# --------------------
# Description_and_Notes
# 	Description: 
#
# --------------------
# Publication
#	Authors: David P. Schneider, David C. Noone 
#	Published_Date_or_Year: 2007-09-20
#	Published_Title: Spatial covariance of water isotope records in a global network of ice cores spanning twentieth-century climate change
#	Journal_Name: Journal of Geophysical Research
#	Volume: 112			
#	Edition: 	
#	Issue: D18105
#	Pages: 
#	DOI: doi:10.1029/2007JD008652
#	Online_Resource: 
#	Full_Citation: 
#	Abstract: Estimating the spatial extent of past climate changes has been an ongoing challenge
for paleoclimatology. For such estimates to be made with confidence, it is important to
establish an understanding of the spatial coherence of proxy records during an interval of
known climate change. We use water stable isotopes from high-resolution ice cores and
twentieth-century observations of sea level pressures and sea surface temperatures to
assess the covariance among isotopic records and its link to organized patterns of climate
variability. Covarying signals in the cores are identified using empirical orthogonal
function analysis. Results from regression analysis show that the leading signals
are consistent with key climate patterns including the Northern Atlantic Oscillation and
Southern Annular Mode and variability in tropical Pacific sea surface temperatures
associated with the El Nin˜o–Southern Oscillation. Patterns that have recently been
identified in instrumental data, such as positive tropical Pacific SST anomalies associated
with the negative phase of the SAM, are evident in the ice cores. These explanations for
the variance of stable isotopes are consistent with recent studies using isotope-enabled
general circulation models and provide a physical basis for interpreting the observed
isotopic signals. While there is also a global change signal that is evident when analyzing
the records collectively, there are some limitations in reconstructing global temperatures
due to the geographic coverage of the available records and the current lack of
modeling studies to explain the observed global-scale changes. Still, water stable isotope
ratios preserved in ice cores provide a sufficiently rich sampling of large-scale climate
variability that they can be more widely used in physically based paleoclimate
reconstructions covering the last millennium and other periods.
# --------------------
# Funding_Agency
#	Funding_Agency_Name: 
#	Grant:
# --------------------
# Site_Information
#	Site_Name: ITASE 00-05
#	Location: Antarctica
#	Country: 
#	Northernmost_Latitude: -77.68
#	Southernmost_Latitude: -77.68
#	Easternmost_Longitude: -124
#	Westernmost_Longitude: -124
#	Elevation: 1336 m
# --------------------
# Data_Collection
#	Collection_Name: 00ITAS05
#	Earliest_Year: 1719
#	Most_Recent_Year: 2000
#	Time Unit: AD
#
# --------------------
# Variables
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	Age,,,year AD,,,,,N
##delD  delD,,,per mil SMOW,,ice cores,,,N 
#
# --------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing values: NAN
#
age_AD	delD
1826	-254.7183333
1825	-268.9766667
1824	-268.9216667
1823	-260.4
1822	-274.16
1821	-284.8375
1820	-265.266
1819	-253.0366667
1818	-253.664
1817	-262.5233333
1816	-267.295
1815	-267.5925
1814	-272.328
1813	-270.91
1812	-266.7775
1811	-266.274
1810	-278.525
1809	-284.555
1808	-285.745
1807	-290.735
1806	-277.7075
1805	-267.426
1804	-260.67
1803	-256.945
1802	-263.882
1801	-264.55
1800	-273.8185714
1799	-274.306
1798	-271.5825
1797	-261.5766667
1796	-260.068
1795	-255.585
1794	-255.3625
1793	-270.958
1792	-272.055
1791	-268.936
1790	-271.8433333
1789	-272.8433333
1788	-267.0275
1787	-262.73
1786	-262.952
1785	-265.44
1784	-278.85
1783	-283.4033333
1782	-271.72
1781	-254.795
1780	-262.318
1779	-255.25
1778	-264.885
1777	-277.2066667
1776	-269.1375
1775	-262.275
1774	-254.15
1773	-255.4583333
1772	-272.4033333
1771	-260.295
1770	-259.44
1769	-265.8966667
1768	-258.0475
1767	-267.255
1766	-275.65
1765	-279.5925
1764	-276.4425
1763	-265.7566667
1762	-258.69
1761	-258.115
1760	-259.99
1759	-257.9933333
1758	-246.885
1757	-242.8825
1756	-243.13
1755	-245.935
1754	-257.804
1753	-260.1866667
1752	-262.05
1751	-269.432
1750	-274.036
1749	-267.122
1748	-258.525
1747	-251.0575
1746	-251.9025
1745	-258.4933333
1744	-260.75
1743	-257.845
1742	-258.15
1741	-265.9766667
1740	-266.9475
1739	-266.8425
1738	-263.615
1737	-259.17
1736	-258.3475
1735	-264.544
1734	-265.906
1733	-249.5466667
1732	-248.42
1731	-251.63
1730	-258.7866667
1729	-263.2366667
1728	-263.82
1727	-263.8175
1726	-260.93
1725	-258.0275
1724	-256.8866667
1723	-256.04
1722	-259.46
1721	-265.95
1720	-265.53
1719	-263.93
