# Asi_21 - PAGES 2K UKHEWD Earlywood density Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_21 - UKHEWD
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Schweingruber, FH  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: UKHEWD
#	Location: Asia
#	Country: Altai Mountains (AT)
#	Northernmost_Latitude: 50.15
#	Southernmost_Latitude: 50.15
#	Easternmost_Longitude: 85.37
#	Westernmost_Longitude: 85.37
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_21
#	Earliest_Year: 1581
#	Most_Recent_Year: 1993
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##early_d	earlywood density, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	early_d
1718.0	1.026
1719.0	1.0
1720.0	1.001
1721.0	1.098
1722.0	1.039
1723.0	1.085
1724.0	1.095
1725.0	1.04
1726.0	1.028
1727.0	1.041
1728.0	0.991
1729.0	0.988
1730.0	0.941
1731.0	1.01
1732.0	0.95
1733.0	0.993
1734.0	1.062
1735.0	1.011
1736.0	0.938
1737.0	0.975
1738.0	0.96
1739.0	0.957
1740.0	0.934
1741.0	0.892
1742.0	0.925
1743.0	0.989
1744.0	0.909
1745.0	0.922
1746.0	0.958
1747.0	0.991
1748.0	0.999
1749.0	0.943
1750.0	0.999
1751.0	0.951
1752.0	1.041
1753.0	1.0
1754.0	1.062
1755.0	0.944
1756.0	0.949
1757.0	0.961
1758.0	0.961
1759.0	0.962
1760.0	1.081
1761.0	1.004
1762.0	1.067
1763.0	1.043
1764.0	0.993
1765.0	0.953
1766.0	1.028
1767.0	1.021
1768.0	0.978
1769.0	0.978
1770.0	0.977
1771.0	0.983
1772.0	0.997
1773.0	1.0
1774.0	0.977
1775.0	0.93
1776.0	0.986
1777.0	1.011
1778.0	1.058
1779.0	0.986
1780.0	0.947
1781.0	0.991
1782.0	0.993
1783.0	0.865
1784.0	0.922
1785.0	0.925
1786.0	1.003
1787.0	0.972
1788.0	0.964
1789.0	0.949
1790.0	1.011
1791.0	1.075
1792.0	1.052
1793.0	1.023
1794.0	1.003
1795.0	0.977
1796.0	1.096
1797.0	0.931
1798.0	0.98
1799.0	1.014
1800.0	0.904
1801.0	0.997
1802.0	0.954
1803.0	0.958
1804.0	0.984
1805.0	0.939
1806.0	1.045
1807.0	1.018
1808.0	1.065
1809.0	0.988
1810.0	0.994
1811.0	0.969
1812.0	1.031
1813.0	1.0
1814.0	0.97
1815.0	0.998
1816.0	0.977
1817.0	1.011
1818.0	0.998
1819.0	0.971
1820.0	0.961
1821.0	1.022
1822.0	1.027
1823.0	1.077
1824.0	0.985
1825.0	1.042
1826.0	0.984
1827.0	1.01
1828.0	1.038
1829.0	1.013
1830.0	1.049
1831.0	0.975
1832.0	1.017
1833.0	0.964
1834.0	0.986
1835.0	0.934
1836.0	0.981
1837.0	1.031
1838.0	1.004
1839.0	0.989
1840.0	0.999
1841.0	1.021
1842.0	0.987
1843.0	0.986
1844.0	0.948
1845.0	0.982
1846.0	1.02
1847.0	0.984
1848.0	0.963
1849.0	0.976
1850.0	1.068
1851.0	0.937
1852.0	1.039
1853.0	0.944
1854.0	1.153
1855.0	0.952
1856.0	1.013
1857.0	0.932
1858.0	1.065
1859.0	1.017
1860.0	0.969
1861.0	1.003
1862.0	0.961
1863.0	1.033
1864.0	1.058
1865.0	1.002
1866.0	1.029
1867.0	1.008
1868.0	0.962
1869.0	0.968
1870.0	0.918
1871.0	1.067
1872.0	0.959
1873.0	1.027
1874.0	0.953
1875.0	0.977
1876.0	0.973
1877.0	0.978
1878.0	1.072
1879.0	1.044
1880.0	0.946
1881.0	1.049
1882.0	1.01
1883.0	1.005
1884.0	1.001
1885.0	1.028
1886.0	0.978
1887.0	0.965
1888.0	0.986
1889.0	0.996
1890.0	0.98
1891.0	1.008
1892.0	1.028
1893.0	1.051
1894.0	1.007
1895.0	1.014
1896.0	0.96
1897.0	0.985
1898.0	0.96
1899.0	0.991
1900.0	1.053
1901.0	1.028
1902.0	1.031
1903.0	0.966
1904.0	0.968
1905.0	0.989
1906.0	0.982
1907.0	0.918
1908.0	0.877
1909.0	1.005
1910.0	0.993
1911.0	0.968
1912.0	0.924
1913.0	0.93
1914.0	0.939
1915.0	0.996
1916.0	0.939
1917.0	0.894
1918.0	0.968
1919.0	1.034
1920.0	1.01
1921.0	0.973
1922.0	0.987
1923.0	0.99
1924.0	0.994
1925.0	0.973
1926.0	0.963
1927.0	1.02
1928.0	0.993
1929.0	1.003
1930.0	0.942
1931.0	1.016
1932.0	0.973
1933.0	1.025
1934.0	0.958
1935.0	1.033
1936.0	0.966
1937.0	0.972
1938.0	0.976
1939.0	1.0
1940.0	0.996
1941.0	1.01
1942.0	0.961
1943.0	1.037
1944.0	1.005
1945.0	1.074
1946.0	1.044
1947.0	0.993
1948.0	1.049
1949.0	1.096
1950.0	1.062
1951.0	1.088
1952.0	0.969
1953.0	1.021
1954.0	0.986
1955.0	1.079
1956.0	1.015
1957.0	0.93
1958.0	0.983
1959.0	0.974
1960.0	0.947
1961.0	1.018
1962.0	1.026
1963.0	1.032
1964.0	0.979
1965.0	1.061
1966.0	1.035
1967.0	1.005
1968.0	1.03
1969.0	1.026
1970.0	0.995
1971.0	0.997
1972.0	0.897
1973.0	0.947
1974.0	1.026
1975.0	1.047
1976.0	0.992
1977.0	1.018
1978.0	0.988
1979.0	1.026
1980.0	1.009
1981.0	1.059
1982.0	1.042
1983.0	1.003
1984.0	0.944
1985.0	0.98
1986.0	1.02
1987.0	1.031
1988.0	1.028
1989.0	1.026
1990.0	1.015
1991.0	1.015
1992.0	1.038
1993.0	0.955
