# Asi_23 - PAGES 2K UKHMND Minimum density Data
#-----------------------------------------------------------------------
#		World Data Center for Paleoclimatology, Boulder
#				and
#		NOAA Paleoclimatology Program
#-----------------------------------------------------------------------
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14188
#
# Original_Source_URL:
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Tree Rings
#--------------------
# Contribution_Date
#	Date:
#--------------------
# Title
#	Study_Name: Asi_23 - UKHMND
#--------------------
# Investigators
#	Investigators: PAGES 2k Network
#--------------------
# Description_and_Notes
#	Description:
#--------------------
# Publication
#	Authors: PAGES 2k Consortium
#	Published_Date_or_Year: 2013
#	Published_Title: Continental-scale temperature variability during the past two millennia
#	Journal_Name: Nature Geoscience
#	Volume: 6
#	Edition:
#	Issue:
#	Pages: 339-346
#	DOI: 10.1038/NGEO1797
#	Online_Resource: www.nature.com/naturegeoscience
#	Full_Citation: Schweingruber, FH  /  PAGES 2k Consortium. 2013. Continental-scale temperature variability during the past two millennia. Nature Geoscience, Vol. 6, pp. 339-346, May 2013. www.nature.com/naturegeoscience DOI: 10.1038/NGEO1797
#	Abstract:
#--------------------
# Funding_Agency
#	Funding_Agency_Name:
#	Grant:
#--------------------
# Site_Information
#	Site_Name: UKHMND
#	Location: Asia
#	Country: Altai Mountains (AT)
#	Northernmost_Latitude: 50.15
#	Southernmost_Latitude: 50.15
#	Easternmost_Longitude: 85.37
#	Westernmost_Longitude: 85.37
#	Elevation:
#--------------------
# Data_Collection
#	Collection_Name: Asi_23
#	Earliest_Year: 1581
#	Most_Recent_Year: 1993
#	Time_Unit: y_ad
#	Core_Length:
#	Notes: {"database":"PAGES1"}{"database":"PAGES2"}{"relationship":"Positive"}
#--------------------
# Species
#	Species_Name:
#--------------------
# Chronology:
#
#
#
#--------------------
# Variables
#
# Data variables follow that are preceded by ## in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data)
#
##age	age, , ,years AD, , Tree Rings, , ,N
##min_d	minimum density, , , , , Tree Rings, , ,N
#
#--------------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: nan
#
age	min_d
1795.0	0.984
1796.0	1.162
1797.0	0.913
1798.0	0.979
1799.0	1.023
1800.0	0.919
1801.0	0.978
1802.0	0.943
1803.0	0.937
1804.0	0.985
1805.0	0.95
1806.0	0.982
1807.0	1.001
1808.0	1.067
1809.0	0.985
1810.0	0.992
1811.0	0.989
1812.0	1.036
1813.0	1.013
1814.0	0.992
1815.0	0.992
1816.0	1.013
1817.0	1.034
1818.0	1.009
1819.0	1.013
1820.0	1.0
1821.0	1.036
1822.0	1.021
1823.0	1.099
1824.0	0.996
1825.0	1.028
1826.0	1.005
1827.0	1.014
1828.0	0.992
1829.0	1.014
1830.0	1.014
1831.0	0.95
1832.0	0.98
1833.0	0.963
1834.0	0.968
1835.0	0.941
1836.0	1.01
1837.0	1.0
1838.0	0.986
1839.0	0.983
1840.0	0.984
1841.0	1.014
1842.0	1.006
1843.0	1.039
1844.0	0.968
1845.0	0.96
1846.0	0.989
1847.0	0.965
1848.0	0.941
1849.0	0.986
1850.0	1.111
1851.0	0.944
1852.0	1.052
1853.0	0.963
1854.0	1.184
1855.0	0.946
1856.0	1.013
1857.0	0.941
1858.0	1.043
1859.0	1.063
1860.0	0.969
1861.0	0.98
1862.0	0.979
1863.0	1.066
1864.0	1.068
1865.0	0.992
1866.0	0.996
1867.0	1.02
1868.0	0.948
1869.0	0.978
1870.0	0.934
1871.0	1.072
1872.0	0.981
1873.0	1.08
1874.0	0.965
1875.0	1.002
1876.0	0.954
1877.0	0.972
1878.0	1.134
1879.0	1.045
1880.0	0.957
1881.0	1.044
1882.0	0.966
1883.0	1.009
1884.0	1.011
1885.0	1.001
1886.0	0.962
1887.0	0.945
1888.0	0.986
1889.0	0.994
1890.0	1.02
1891.0	0.997
1892.0	0.974
1893.0	1.057
1894.0	0.986
1895.0	0.984
1896.0	0.948
1897.0	0.985
1898.0	0.964
1899.0	0.969
1900.0	1.056
1901.0	1.007
1902.0	1.021
1903.0	0.98
1904.0	0.987
1905.0	1.007
1906.0	0.993
1907.0	0.965
1908.0	0.893
1909.0	1.015
1910.0	1.004
1911.0	0.952
1912.0	0.912
1913.0	0.961
1914.0	0.932
1915.0	1.007
1916.0	0.953
1917.0	0.919
1918.0	0.949
1919.0	1.027
1920.0	1.054
1921.0	0.976
1922.0	0.995
1923.0	0.971
1924.0	0.989
1925.0	0.953
1926.0	0.962
1927.0	1.038
1928.0	0.991
1929.0	1.003
1930.0	0.957
1931.0	1.024
1932.0	1.017
1933.0	1.081
1934.0	0.98
1935.0	1.017
1936.0	0.997
1937.0	0.951
1938.0	0.964
1939.0	0.972
1940.0	1.014
1941.0	1.013
1942.0	0.972
1943.0	1.029
1944.0	0.997
1945.0	1.024
1946.0	1.025
1947.0	1.017
1948.0	1.053
1949.0	1.099
1950.0	1.04
1951.0	1.06
1952.0	0.95
1953.0	1.0
1954.0	0.994
1955.0	1.056
1956.0	1.008
1957.0	0.963
1958.0	1.013
1959.0	0.977
1960.0	0.972
1961.0	1.0
1962.0	1.01
1963.0	1.031
1964.0	1.008
1965.0	1.051
1966.0	1.009
1967.0	1.001
1968.0	1.027
1969.0	1.041
1970.0	0.986
1971.0	1.005
1972.0	0.943
1973.0	0.957
1974.0	0.992
1975.0	1.044
1976.0	1.0
1977.0	1.014
1978.0	1.028
1979.0	0.986
1980.0	0.992
1981.0	1.025
1982.0	1.052
1983.0	0.995
1984.0	0.965
1985.0	0.982
1986.0	1.025
1987.0	0.987
1988.0	1.016
1989.0	1.009
1990.0	1.035
1991.0	1.003
1992.0	1.029
1993.0	0.961
